condition_grouper_name,condition_grouper_canonical_url,condition_grouper_version,coverage_level,coverage_reason,coverage_date,rsg_count,rsgs,acg_count,acgs,unresolved_count,unresolved_refs,total_rsg_codes,total_acg_codes,total_codes_in_cg,expansion_code_count,expansion_vs_composition
Anotia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/743b7389-45ef-4fbd-bba8-cc3bafec9f63,6.0.0,,,,1,57436000 Anotia (4 codes),0,,0,,4,0,4,4,match
Anthrax,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/cee10ec6-5f3c-42c8-91af-5bc3f4ab2daf,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,409498004 Anthrax (1918 codes),2,Anthrax Additional Context Immunization Codes (13 codes) | Anthrax Additional Context Medication Codes (3176 codes),0,,1918,3189,5107,5107,match
Aortic valve stenosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/a8c9a4dd-4db2-4d19-8327-45291b77e383,6.0.0,,,,1,18546004 Aortic valve stenosis (18 codes),0,,0,,18,0,18,18,match
Arboviral Disease [Other],https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ccbc2240-7996-4b24-b2ab-909fb597ade7,6.0.0,,,,1,40610006 Arboviral Disease [Other] (768 codes),0,,0,,768,0,768,768,match
Arsenic Exposure and Toxicity,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/26b33744-0449-42d1-b119-a2960602095a,6.0.0,,,,1,767146004 Arsenic Exposure and Toxicity (159 codes),0,,0,,159,0,159,159,match
Asbestosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/62640327-6e96-4559-8f6b-4d305590a900,6.0.0,,,,1,22607003 Asbestosis (11 codes),0,,0,,11,0,11,11,match
Atrial septal defect,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/5aef5efd-6297-4831-803a-65fda1e7cde5,6.0.0,,,,1,405752007 Atrial septal defect (38 codes),0,,0,,38,0,38,38,match
Atrioventricular septal defect (Endocardial cushion defect),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/c1c99860-df66-42cb-8d79-c7304f2691d7,6.0.0,,,,1,1237074000 Atrioventricular septal defect (Endocardial cushion defect) (83 codes),0,,0,,83,0,83,83,match
Babesiosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ef7e8146-c5e7-405b-8559-9b0f0675f472,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,21061004 Babesiosis (662 codes),4,Babesiosis Additional Context Symptom Codes (38 codes) | Babesiosis Additional Context Clinical Lab Result Codes (3 codes) | Babesiosis Additional Context Medication Codes (322 codes) | Babesiosis Additional Context Specimen Source Codes (1 codes),0,,662,364,1026,1026,match
Balamuthia mandrillaris Disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ad9b43bd-dd5d-4661-9483-e1ff862074ed,6.0.0,,,,1,115635005 Balamuthia mandrillaris Disease (1201 codes),0,,0,,1201,0,1201,1201,match
Bartonellosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/86b5b8ff-e9fe-4aa1-813b-cfd31dc076ba,6.0.0,,,,1,266123003 Bartonellosis (1448 codes),0,,0,,1448,0,1448,1448,match
Baylisascariasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/82e1bb0e-3c5d-476b-8dc3-f8cd6c8b3841,6.0.0,,,,1,93614002 Baylisascariasis (532 codes),0,,0,,532,0,532,532,match
Biliary Atresia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/a811003c-92b7-4a17-9218-2a3b72ebcb26,6.0.0,,,,1,77480004 Biliary Atresia (6 codes),0,,0,,6,0,6,6,match
Bladder Exstrophy,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ec438d29-7cb3-44de-8c3a-53fe6f2c9493,6.0.0,,,,1,61758007 Bladder Exstrophy (6 codes),0,,0,,6,0,6,6,match
Blastomycosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/16cc5efb-e136-4909-bc02-6673de5badd1,6.0.0,,,,1,69996000 Blastomycosis (981 codes),0,,0,,981,0,981,981,match
Botulism,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/97cccfa2-2462-46d8-b50c-09ee712f1c30,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,2,"398565003 Botulism (641 codes) | 414488002 Botulism, Infant (723 codes)",1,Botulism Additional Context Medication Codes (1307 codes),0,,760,1307,2067,2067,match
Brucellosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d2b6c97a-c320-4678-9ff0-b55999ec0a16,6.0.0,,,,1,75702008 Brucellosis (2284 codes),0,,0,,2284,0,2284,2284,match
Byssinosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/57f2ca46-ed5d-4429-bb8c-46ead0df24fe,6.0.0,,,,1,85761009 Byssinosis (7 codes),0,,0,,7,0,7,7,match
COVID-19,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/07221093-b8a1-4b1d-8678-259277bfba64,6.0.0,complete,,2026-02-24T00:00:00-07:00,3,186747009 COVID-19 (697 codes) | 1001411000124108 COVID-19-Associated Pediatric Mortality (669 codes) | 840539006 COVID-19 (1167 codes),6,COVID-19 Additional Context Diagnosis Codes (7654 codes) | COVID-19 Additional Context Immunization Codes (154 codes) | COVID-19 Additional Context Clinical Lab Result Codes (170 codes) | COVID-19 Additional Context Specimen Source Codes (3 codes) | COVID-19 Additional Context Symptom Codes (967 codes) | COVID-19 Additional Context Medication Codes (4969 codes),0,,1201,13915,14468,14468,match
Cadmium Exposure and Toxicity,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ecc9f56f-0ffd-4af2-9e04-b5530da8209f,6.0.0,,,,1,3398004 Cadmium Exposure and Toxicity (135 codes),0,,0,,135,0,135,135,match
California Serogroup Virus Disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/78c0b420-682c-4aa6-90c9-8e392e236ff6,6.0.0,,,,1,418182000 California Serogroup Virus Disease (631 codes),0,,0,,631,0,631,631,match
Campylobacteriosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/77fd2ab0-9707-453b-8470-01dd6a986aff,6.0.0,complete,,2026-02-24T00:00:00-07:00,1,86500004 Campylobacteriosis (656 codes),5,Campylobacteriosis Additional Context Medication Codes (4020 codes) | Campylobacteriosis Additional Context Clinical Lab Result Codes (1 codes) | Campylobacteriosis Additional Context Specimen Source Codes (6 codes) | Campylobacteriosis Additional Context Diagnosis Codes (1142 codes) | Campylobacteriosis Additional Context Symptom Codes (951 codes),0,,656,6119,6685,6685,match
Cancer,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/94a3796b-fee2-49c0-9b86-8763923f90f7,6.0.0,,,,1,363346000 Cancer (7187 codes),0,,0,,7187,0,7187,7187,match
Candida auris infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ad69000f-6f42-4bcd-bc41-a28f7782b949,6.0.0,,,,2,865929003 Candida auris infection (508 codes) | 3491000146109 Candida auris infection (487 codes),0,,0,,508,0,508,508,match
Candidemia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/1f3d9bf8-e884-423b-8bf2-67a0493573af,6.0.0,,,,1,432261003 Candidemia (727 codes),0,,0,,727,0,727,727,match
Carbapenem-resistant Organisms,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/0af28372-3743-4564-bac2-5f8e97affe95,6.0.0,,,,4,712662001 Carbapenem-resistant Enterobacteriaceae (CRE) (4896 codes) | 726492000 Carbapenem-resistant Pseudomonas aeruginosa (CRPA) (682 codes) | 44591000087104 Carbapenem-resistant Enterobacterales (CRE) (5203 codes) | 715174007 Carbapenem-resistant Acinetobacter baumannii (CRAB) (667 codes),0,,0,,5242,0,5242,5242,match
Carbapenemase-Producing Organisms (CPO),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9f928b2e-edef-477b-bc38-85b22be2093f,6.0.0,,,,2,734350003 Carbapenemase-Producing Organisms (CPO) (217 codes) | 734351004 Carbapenemase-producing Carbapenem-resistant Enterobacteriaceae (CP-CRE) (4894 codes),0,,0,,4896,0,4896,4896,match
Carbon Monoxide Poisoning,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/53e8b06e-cdd2-4960-b727-0f8a13ea59b1,6.0.0,,,,1,17383000 Carbon Monoxide Poisoning (341 codes),0,,0,,341,0,341,341,match
Catheter-associated Urinary Tract Infection (CAUTI),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/e146ceb9-0496-4faf-929e-c072b3e60c35,6.0.0,,,,1,700372006 Catheter-associated Urinary Tract Infection (CAUTI) (10 codes),0,,0,,10,0,10,10,match
Central Line-associated Bloodstream Infection (CLABSI),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/1df299f9-d3f0-4707-a80b-63e2746b8c2d,6.0.0,,,,1,736152001 Central Line-associated Bloodstream Infection (CLABSI) (8 codes),0,,0,,8,0,8,8,match
Chagas Disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/67df7ac4-7088-4314-ab8b-e320237eeaba,6.0.0,,,,1,77506005 Chagas Disease (593 codes),0,,0,,593,0,593,593,match
Chancroid,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d647c446-f653-4e09-bc15-42d55c49771f,6.0.0,,,,1,266143009 Chancroid (446 codes),0,,0,,446,0,446,446,match
Chemical Pneumonitis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/8f954b53-2f33-464c-ac07-7fc3c70d86e6,6.0.0,,,,2,233733000 Chemical Pneumonitis (16 codes) | 196021009 Chemical Pneumonitis (16 codes),0,,0,,16,0,16,16,match
Chikungunya virus disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/c4ee0890-4e4f-41ae-8f15-5b75442bc4eb,6.0.0,,,,1,111864006 Chikungunya virus disease (490 codes),0,,0,,490,0,490,490,match
Chlamydia trachomatis infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ecbcc071-0061-4a76-a984-b98137e9b233,6.0.0,complete,,2025-10-01T00:00:00-06:00,2,105629000 Chlamydia (689 codes) | 240589008 Chlamydia trachomatis Infection (811 codes),5,Chlamydia trachomatis infection Additional Context Medication Codes (730 codes) | Chlamydia trachomatis infection Additional Context Diagnosis Codes (2171 codes) | Chlamydia trachomatis infection Additional Context Symptom Codes (1692 codes) | Chlamydia trachomatis infection Additional Context Clinical Lab Result Codes (3449 codes) | Chlamydia trachomatis infection Additional Context Specimen Source Codes (7 codes),0,,811,8049,8852,8852,match
Choanal Atresia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/f3eded9a-1b63-4e81-b07c-7658521567a2,6.0.0,,,,1,204508009 Choanal Atresia (13 codes),0,,0,,13,0,13,13,match
Cholera,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/14cc30bb-f817-4c6d-bd6e-5493b95bdb2f,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,63650001 Cholera (515 codes),2,Cholera Additional Context Immunization Codes (12 codes) | Cholera Additional Context Medication Codes (1251 codes),0,,515,1263,1778,1778,match
Cleft Lip Alone,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9f8d64e9-749e-4ddb-af78-8ce828ee57f6,6.0.0,,,,1,80281008 Cleft Lip Alone (39 codes),0,,0,,39,0,39,39,match
Cleft Lip with Cleft Palate,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/fb1ce8e1-44bc-4ab9-8445-3d5be1b93769,6.0.0,,,,1,66948001 Cleft Lip with Cleft Palate (50 codes),0,,0,,50,0,50,50,match
Cleft Palate Alone,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/716c0c6b-2b2f-4f85-9043-58e23a333e6c,6.0.0,,,,1,87979003 Cleft Palate Alone (58 codes),0,,0,,58,0,58,58,match
Cloacal Exstrophy,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/a9aa918a-0f7d-48da-86e2-c18c94b27cae,6.0.0,,,,1,20815007 Cloacal Exstrophy (4 codes),0,,0,,4,0,4,4,match
Clostridioides difficile (C. diff) infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/f8e127b7-2da2-403b-934c-2dae749b760e,6.0.0,,,,1,186431008 Clostridioides difficile (C. diff) infection (512 codes),0,,0,,512,0,512,512,match
Clostridium perfringens Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/4733056c-8880-4362-ac0f-e96d9be4b1d2,6.0.0,,,,1,65154009 Clostridium perfringens Infection (530 codes),0,,0,,530,0,530,530,match
Clubfoot,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/3c91fadb-0529-4f32-bcb6-7c38a05bf8d7,6.0.0,,,,1,397932003 Clubfoot (10 codes),0,,0,,10,0,10,10,match
Coal Workers’ Pneumoconiosis (CWP),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/df4c3914-5cd5-4364-95f5-59fc62fcd123,6.0.0,,,,1,29422001 Coal Workers' Pneumoconiosis (CWP) (131 codes),0,,0,,131,0,131,131,match
Coarctation of the Aorta,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ff826686-c0ca-45b2-843d-9cefc052d34c,6.0.0,,,,1,7305005 Coarctation of the Aorta (22 codes),0,,0,,22,0,22,22,match
Coccidioidomycosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/06f4a972-62b3-4e0f-affd-eb78e31085ef,6.0.0,,,,1,60826002 Coccidioidomycosis (2881 codes),0,,0,,2881,0,2881,2881,match
Colorado tick fever,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/2a58b909-993c-4a69-986f-d284815c8bf2,6.0.0,,,,1,6452009 Colorado tick fever (91 codes),0,,0,,91,0,91,91,match
Congenital Posterior Urethral Valves,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d8a335c8-2ece-4b1f-abb3-c7a7444b293b,6.0.0,,,,1,253900005 Congenital Posterior Urethral Valves (4 codes),0,,0,,4,0,4,4,match
Congenital cytomegalovirus (cCMV) infection and disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d8a09682-e817-4a0a-b59f-5ba6a7992a3e,6.0.0,,,,1,59527008 Congenital cytomegalovirus (cCMV) infection and disease (854 codes),0,,0,,854,0,854,854,match
Creutzfeldt-Jakob Disease (CJD) and Variant Creutzfeldt-Jakob Disease (vCJD),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/e2d47ee8-a731-4a90-8fe7-5a224e1a5213,6.0.0,,,,1,792004 Creutzfeldt-Jakob Disease (CJD) and Variant Creutzfeldt-Jakob Disease (vCJD) (88 codes),0,,0,,88,0,88,88,match
Cryptococcosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/08d5cef0-7dbc-43a8-8b69-1e2a27be8d47,6.0.0,,,,1,42386007 Cryptococcosis (982 codes),0,,0,,982,0,982,982,match
Cryptosporidiosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/714e4a83-2be8-45de-a72a-451901f2d307,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,240370009 Cryptosporidiosis (701 codes),1,Cryptosporidiosis Additional Context Symptom Codes (64 codes),0,,701,64,765,765,match
Cyanobacteria And Cyanotoxin Poisoning,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/5ffd7e43-cf80-4a95-8a74-f2a15c54fb3f,6.0.0,,,,1,41439009 Cyanobacteria and Cyanotoxin Poisoning (625 codes),0,,0,,625,0,625,625,match
Cyclosporiasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/a5d9def2-a308-410c-b626-8462c5db687d,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,240372001 Cyclosporiasis (646 codes),1,Cyclosporiasis Additional Context Symptom Codes (17 codes),0,,646,17,663,663,match
Cystic Fibrosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9b1e5ad0-afb8-4477-b4ae-22bb8c47b009,6.0.0,,,,1,190905008 Cystic Fibrosis (113 codes),0,,0,,113,0,113,113,match
Cysticercosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/66df22ba-d941-40a3-8725-70cd0b3d82bd,6.0.0,,,,1,59051007 Cysticercosis (788 codes),0,,0,,788,0,788,788,match
Dengue Virus Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/0138da5e-7df9-4e4a-9ef1-35c2414ca7e6,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,38362002 Dengue Virus Infection (693 codes),1,Dengue Virus Infection Additional Context Clinical Lab Result Codes (5 codes),0,,693,5,698,698,match
Diaphragmatic Hernia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ac52448d-9c9a-4068-ada1-57707b66f073,6.0.0,,,,1,39839004 Diaphragmatic Hernia (14 codes),0,,0,,14,0,14,14,match
Diphtheria,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/66b2bcd9-123e-4d4d-b50d-6eba3536d911,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,2,397428000 Diphtheria (490 codes) | 276197005 Diphtheria (611 codes),2,Diphtheria Additional Context Immunization Codes (200 codes) | Diphtheria Additional Context Medication Codes (1267 codes),0,,611,1467,2078,2078,match
Diphyllobothriasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/e3a785c7-10ee-4d32-b1f5-6d1e4605455f,6.0.0,,,,1,187151009 Diphyllobothriasis (492 codes),0,,0,,492,0,492,492,match
Double Outlet Right Ventricle (DORV),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/6f06f502-deb3-42bb-96b8-0333215ef66c,6.0.0,,,,1,7484005 Double Outlet Right Ventricle (DORV) (14 codes),0,,0,,14,0,14,14,match
Down Syndrome,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9e5aec32-579f-4646-ab1c-4b6ec122c38d,6.0.0,,,,1,41040004 Down Syndrome (611 codes),0,,0,,611,0,611,611,match
Drowning and Submersion,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/c05cab96-c023-4ee2-bb7d-071fb600be7b,6.0.0,,,,1,212962007 Drowning and Submersion (500 codes),0,,0,,500,0,500,500,match
"Drug Overdose and Poisoning, Non-opioid",https://tes.tools.aimsplatform.org/api/fhir/ValueSet/bac3505f-0e55-4ca6-b3c3-d6088ac6a292,6.0.0,,,,1,"1149222004 Drug Overdose and Poisoning, Non-opioid (1798 codes)",0,,0,,1798,0,1798,1798,match
Eastern equine encephalitis virus disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/af013ac0-d3a4-4322-a3cc-e226717558a0,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,416925005 Eastern equine encephalitis virus disease (532 codes),1,Eastern equine encephalitis virus disease Additional Context Symptom Codes (38 codes),0,,532,38,570,570,match
Ebstein Anomaly,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/6cd0ee8e-d54a-410c-9114-5e7d897ceff5,6.0.0,,,,1,204357006 Ebstein Anomaly (8 codes),0,,0,,8,0,8,8,match
Echinococcosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/58d28abc-b633-46a3-9776-4c1e139c0e8d,6.0.0,,,,1,74942003 Echinococcosis (595 codes),0,,0,,595,0,595,595,match
Ehrlichiosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/48db8707-58df-48da-b874-4be33a348541,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,240626005 Ehrlichiosis (987 codes),3,Ehrlichiosis Additional Context Medication Codes (556 codes) | Ehrlichiosis Additional Context Clinical Lab Result Codes (7 codes) | Ehrlichiosis Additional Context Symptom Codes (67 codes),0,,987,630,1617,1617,match
Encephalitis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/74731f8c-a961-4b64-b485-1d7525019c58,6.0.0,,,,1,45170000 Encephalitis (3254 codes),0,,0,,3254,0,3254,3254,match
Encephalocele,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/8d5e11fa-9288-4063-86b3-f77adff72246,6.0.0,,,,1,55999004 Encephalocele (32 codes),0,,0,,32,0,32,32,match
Escherichia coli Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9d551905-8e92-480f-a0b7-da8f4e2733db,6.0.0,complete,,2026-02-24T00:00:00-07:00,2,111407006 Hemolytic uremic syndrome (HUS) (749 codes) | 328291000119103 Shiga toxin-producing Escherichia coli (STEC) infection (797 codes),5,Escherichia coli Infection Additional Context Symptom Codes (922 codes) | Escherichia coli Infection Additional Context Diagnosis Codes (687 codes) | Escherichia coli Infection Additional Context Specimen Source Codes (2 codes) | Escherichia coli Infection Additional Context Medication Codes (3388 codes) | Escherichia coli Infection Additional Context Clinical Lab Result Codes (26 codes),0,,1461,5022,6319,6319,match
Esophageal Atresia/Tracheoesophageal Fistula,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/0df4ba11-aa43-4717-9790-62103e2b043e,6.0.0,,,,1,204659003 Esophageal Atresia/Tracheoesophageal Fistula (28 codes),0,,0,,28,0,28,28,match
Farmer's Lung,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/c80f48ad-18c0-4fb3-88b9-5ba0bee638d9,6.0.0,,,,1,18690003 Farmer's Lung (230 codes),0,,0,,230,0,230,230,match
Fetal Alcohol Spectrum Disorders,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9f3c8366-a0b5-4256-bbe5-16ce332e439a,6.0.0,,,,1,609437000 Fetal Alcohol Spectrum Disorders (69 codes),0,,0,,69,0,69,69,match
Galactosemia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/27bcaeb2-ac39-4967-a1c1-e65c964789fa,6.0.0,,,,1,190745006 Galactosemia (74 codes),0,,0,,74,0,74,74,match
Gastroschisis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/bdf59f98-0f6a-4960-a784-f900ba65041a,6.0.0,,,,1,72951007 Gastroschisis (5 codes),0,,0,,5,0,5,5,match
Genital Warts,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d10b003e-be39-45ac-ae41-3490aee18f5e,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,266113007 Genital Warts (16 codes),1,Genital Warts Additional Context Medication Codes (52 codes),0,,16,52,68,68,match
Giardiasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/07bd2637-db14-4061-8be9-169a480966ee,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,58265007 Giardiasis (672 codes),2,Giardiasis Additional Context Medication Codes (275 codes) | Giardiasis Additional Context Symptom Codes (71 codes),0,,672,346,1018,1018,match
Glanders,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/0ef52922-ed1c-4335-8b72-1d2484021421,6.0.0,,,,1,4639008 Glanders (468 codes),0,,0,,468,0,468,468,match
Gonorrhea,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d5624804-b7a3-44e9-8d81-17bb48162304,6.0.0,complete,,2025-10-01T00:00:00-06:00,1,15628003 Gonorrhea (1186 codes),5,Gonorrhea Additional Context Clinical Lab Result Codes (3449 codes) | Gonorrhea Additional Context Symptom Codes (2068 codes) | Gonorrhea Additional Context Diagnosis Codes (2171 codes) | Gonorrhea Additional Context Specimen Source Codes (8 codes) | Gonorrhea Additional Context Medication Codes (1779 codes),0,,1186,9475,10639,10639,match
Granuloma Inguinale (Donovanosis),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/e920d507-f8d0-4d7a-8783-d2798d97e3eb,6.0.0,,,,1,28867007 Granuloma Inguinale (Donovanosis) (532 codes),0,,0,,532,0,532,532,match
Guillain-Barré Syndrome,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/406dc3d3-176c-452f-99ac-1842b0d960ea,6.0.0,,,,1,40956001 Guillain-Barré Syndrome (128 codes),0,,0,,128,0,128,128,match
Gunshot Wound,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/0d9f5e2a-c8d2-47ae-bb03-2261fc06a65e,6.0.0,,,,1,283545005 Firearm-related injury (244 codes),0,,0,,244,0,244,244,match
HIV Infection or AIDS,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/e97e6fbb-3f25-41cb-ad9e-a165036ef845,6.0.0,complete,,2025-10-01T00:00:00-06:00,2,86406008 HIV Infection or AIDS (1229 codes) | 76981000119106 HIV Infection or AIDS (836 codes),3,HIV Infection or AIDS Additional Context Diagnosis Codes (3149 codes) | HIV Infection or AIDS Additional Context Clinical Lab Result Codes (4127 codes) | HIV Infection or AIDS Additional Context Symptom Codes (1156 codes),0,,1229,8431,9626,9626,match
Hansen's disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/8a086d13-b6fd-4d7e-b202-fcb0564d3c02,6.0.0,,,,1,81004002 Hansen's disease (1125 codes),0,,0,,1125,0,1125,1125,match
Hantavirus Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/c50a7a39-3a43-445a-992a-a8f857473d23,6.0.0,,,,1,359761005 Hantavirus Infection (349 codes),0,,0,,349,0,349,349,match
