condition_grouper_name,condition_grouper_canonical_url,condition_grouper_version,coverage_level,coverage_reason,coverage_date,rsg_count,rsgs,acg_count,acgs,unresolved_count,unresolved_refs,total_rsg_codes,total_acg_codes,total_codes_in_cg,expansion_code_count,expansion_vs_composition
Acanthamoeba,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ceef5555-ce1a-42ff-a124-6508eec46658,6.0.0,,,,1,49649001 Acanthamoeba (955 codes),0,,0,,955,0,955,955,match
Acute Flaccid Myelitis (AFM),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/cd811f61-3abc-47ad-8fe5-cc62ee1ceb45,6.0.0,,,,3,897031002 Acute Flaccid Myelitis (AFM) (77 codes) | 47000000 Acute Flaccid Myelitis (47 codes) | 698293005 Acute Flaccid Myelitis (37 codes),0,,0,,77,0,77,77,match
Agricultural Chemicals (Fertilizer) Poisoning,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/a13c5fc6-8719-4f3b-bb09-3073b2d6b8c6,6.0.0,,,,1,216809001 Agricultural Chemicals (Fertilizer) Poisoning (11 codes),0,,0,,11,0,11,11,match
Alpha-gal Syndrome,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/3196416d-4f94-40ec-bc6f-e7f42772f459,6.0.0,,,,1,788781001 Alpha-gal Syndrome (15 codes),0,,0,,15,0,15,15,match
Amebiasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/15819c26-779c-43ae-974e-5128875493b6,6.0.0,,,,1,388759003 Amebiasis (541 codes),0,,0,,541,0,541,541,match
Anaplasmosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/1ccfa012-62ad-4792-99da-45c38933fa89,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,13906002 Anaplasmosis (983 codes),4,Anaplasmosis Additional Context Diagnosis Codes (9 codes) | Anaplasmosis Additional Context Medication Codes (564 codes) | Anaplasmosis Additional Context Symptom Codes (68 codes) | Anaplasmosis Additional Context Clinical Lab Result Codes (7 codes),0,,983,648,1631,1631,match
Anencephaly,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/c435a017-41e6-4030-b6d1-0bda2eb05b1f,6.0.0,,,,1,89369001 Anencephaly (29 codes),0,,0,,29,0,29,29,match
Angiostrongyliasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/6f5ef8a9-2445-4250-9be0-a2f3137d21ed,6.0.0,,,,1,61750000 Angiostrongyliasis (91 codes),0,,0,,91,0,91,91,match
Animal Bite Injury,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/23439cd9-59c7-46e7-80c7-a23bcb9accac,6.0.0,,,,1,399907009 Animal Bite Injury (676 codes),0,,0,,676,0,676,676,match
Anophthalmia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/74699941-8d63-4086-83c8-61322fe8908a,6.0.0,,,,1,7183006 Anophthalmia (13 codes),0,,0,,13,0,13,13,match
